word,pronunciation,meaning,word_type,example,topic
as (because/since/now that),,Bởi vì,conj,"As it was raining, we stayed home. (Vì trời mưa nên chúng tôi ở nhà)",Ngữ pháp: Giới từ & Liên từ
because of,,Bởi vì (danh từ/cụm N/Ving),prep,"Because of the storm, the flight was delayed. (Vì cơn bão, chuyến bay bị hoãn)",Ngữ pháp: Giới từ & Liên từ
although / though / even though,,Mặc dù,conj,"Although he was tired, he kept working. (Mặc dù anh ấy mệt, anh ấy vẫn tiếp tục làm việc)",Ngữ pháp: Giới từ & Liên từ
despite / in spite of,,Mặc dù (N/ Ving),prep,"Despite the rain, they continued playing. (Mặc dù trời mưa, họ vẫn tiếp tục chơi)",Ngữ pháp: Giới từ & Liên từ
so that / in order that,,Để làm gì,conj,He left early so that he could catch the bus. (Anh ấy rời đi sớm để kịp xe buýt),Ngữ pháp: Giới từ & Liên từ
in order to / so as to,,Để làm gì (V),prep,She studies hard in order to pass the exam. (Cô ấy học chăm để đỗ kỳ thi),Ngữ pháp: Giới từ & Liên từ
while / whereas / meanwhile,,Trong khi,conj,"While I cooked, he cleaned the house. (Trong khi tôi nấu ăn thì anh ấy dọn nhà)",Ngữ pháp: Giới từ & Liên từ
however / even so / nevertheless / nonetheless,,Tuy nhiên,adv,"I was tired; however, I finished the work. (Tôi mệt nhưng vẫn hoàn thành công việc)",Ngữ pháp: Giới từ & Liên từ
therefore / hence / so / thus,,Do đó,bời vậy,adv,Ngữ pháp: Giới từ & Liên từ
in addition / besides,,Ngoài ra,adv,"She speaks English; in addition, she speaks French. (Cô ấy nói tiếng Anh, ngoài ra còn nói tiếng Pháp)",Ngữ pháp: Giới từ & Liên từ
in addition to,,Ngoài ra (N/Ving),prep,"In addition to English, he learns Japanese. (Ngoài tiếng Anh, anh ấy học tiếng Nhật)",Ngữ pháp: Giới từ & Liên từ
moreover / furthermore,,Hơn nữa,adv,"The room is big; moreover, it's cheap. (Phòng lớn, hơn nữa còn rẻ)",Ngữ pháp: Giới từ & Liên từ
beside,,Bên cạnh,prep,She sat beside her friend. (Cô ấy ngồi cạnh bạn mình),Ngữ pháp: Giới từ & Liên từ
regarding / in regards to / about,,Về (N/Ving),prep,"Regarding your question, I will explain more. (Về câu hỏi của bạn, tôi sẽ giải thích thêm)",Ngữ pháp: Giới từ & Liên từ
so + adj + that / such + noun + that,,Quá đến nỗi mà,conj,He was so tired that he fell asleep instantly. (Anh ấy mệt đến nỗi ngủ ngay lập tức),Ngữ pháp: Giới từ & Liên từ
before / prior to,,Trước khi,prep/conj,"Prior to eating, wash your hands. (Trước khi ăn, hãy rửa tay)",Ngữ pháp: Giới từ & Liên từ
after,,Sau khi,prep/conj,"After the meeting, we had lunch. (Sau buổi họp, chúng tôi ăn trưa)",Ngữ pháp: Giới từ & Liên từ
once,,Một khi,conj,"Once you try it, you'll love it. (Một khi bạn thử, bạn sẽ thích)",Ngữ pháp: Giới từ & Liên từ
by the time,,Tại thời điểm,conj,"By the time we arrived, the show had started. (Khi chúng tôi đến thì buổi diễn đã bắt đầu)",Ngữ pháp: Giới từ & Liên từ
until / till,,Cho đến khi,conj,Wait here until I return. (Đợi ở đây cho đến khi tôi quay lại),Ngữ pháp: Giới từ & Liên từ
when,,Khi,conj,"When I arrived, the class had begun. (Khi tôi đến thì lớp đã bắt đầu)",Ngữ pháp: Giới từ & Liên từ
not a but b,,Không phải A mà là B,conj,She bought not a car but a motorbike. (Cô ấy không mua ô tô mà mua xe máy),Ngữ pháp: Giới từ & Liên từ
instead of,,Thay vì (N/Ving),prep,"Instead of coffee, I drank tea. (Thay vì cà phê, tôi uống trà)",Ngữ pháp: Giới từ & Liên từ
as well as,,Cũng như,prep/conj,She sings as well as dances. (Cô ấy hát cũng như nhảy),Ngữ pháp: Giới từ & Liên từ
even,,Thậm chí,adv,He didn't even say goodbye. (Anh ấy thậm chí không nói lời tạm biệt),Ngữ pháp: Giới từ & Liên từ
if,,Nếu,conj,"If it rains, we will stay home. (Nếu trời mưa chúng ta sẽ ở nhà)",Ngữ pháp: Giới từ & Liên từ
only if / as long as / so long as,,Miễn là,conj,You can go out as long as you finish your work. (Bạn có thể ra ngoài miễn là bạn hoàn thành công việc),Ngữ pháp: Giới từ & Liên từ
even if,,Ngay cả khi,conj,"Even if it rains, we will go. (Ngay cả khi trời mưa, chúng tôi vẫn đi)",Ngữ pháp: Giới từ & Liên từ
unless / if not,,Trừ khi,nếu không,conj,Ngữ pháp: Giới từ & Liên từ
otherwise,,Nếu không thì,adv,"Study hard; otherwise, you will fail. (Học chăm, nếu không bạn sẽ trượt)",Ngữ pháp: Giới từ & Liên từ
following,,Theo như / sau đó (N/Ving),prep,"Following the event, we went home. (Sau sự kiện, chúng tôi về nhà)",Ngữ pháp: Giới từ & Liên từ
whether,,Liệu rằng,conj,I don't know whether he will come. (Tôi không biết liệu anh ấy có đến không),Ngữ pháp: Giới từ & Liên từ
in (that) case,,Trong trường hợp,conj,"In that case, we should leave early. (Trong trường hợp đó, chúng ta nên đi sớm)",Ngữ pháp: Giới từ & Liên từ
in case of,,Trong trường hợp (N/Ving),prep,"In case of emergency, call 911. (Trong trường hợp khẩn cấp hãy gọi 911)",Ngữ pháp: Giới từ & Liên từ
to the contrary / on the contrary,,Trái ngược với,adv,"On the contrary, he liked the idea. (Ngược lại, anh ấy thích ý tưởng đó)",Ngữ pháp: Giới từ & Liên từ
on the other hand,,Mặt khác,conj,"On the other hand, we could try a new plan. (Mặt khác, chúng ta có thể thử kế hoạch mới)",Ngữ pháp: Giới từ & Liên từ
the fact that,,Thực tế là,conj,The fact that he apologized impressed me. (Thực tế là anh ấy xin lỗi khiến tôi ấn tượng),Ngữ pháp: Giới từ & Liên từ
given,,Khi xem xét điều gì (N/Ving),prep,"Given his experience, he will succeed. (Xét kinh nghiệm của anh ấy, anh ấy sẽ thành công)",Ngữ pháp: Giới từ & Liên từ
given that,,Căn cứ vào,conj,"Given that it's late, we should stop working. (Căn cứ vào việc trời đã khuya, chúng ta nên nghỉ)",Ngữ pháp: Giới từ & Liên từ
